,sub_problem,sub_fval,solution,qaoa_time
0,"[71, 88, 8, 16, 81, 38, 28]",0.22253271610244535,[1. 0. 0. 0. 1. 0. 0.],0.8805603981018066
1,"[26, 52, 63, 20, 51, 9, 31]",0.20482570240943251,[0. 0. 1. 1. 0. 0. 0.],0.7332732677459717
2,"[15, 47, 13, 80, 2, 86, 41]",0.192926865700504,[0. 0. 0. 1. 0. 0. 0.],0.7334003448486328
3,"[37, 84, 89, 0, 18, 39, 48]",0.18598762878040517,[0. 0. 0. 0. 1. 0. 1.],0.7327358722686768
4,"[34, 68, 77, 58, 75, 3, 21]",0.17871733185664687,[0. 1. 1. 0. 1. 0. 0.],0.7300341129302979
5,"[10, 65, 85, 40, 35, 19, 32]",0.1701128118165291,[0. 1. 1. 0. 0. 1. 0.],0.7324278354644775
6,"[83, 24, 70, 69, 87, 72, 64]",0.16116019280249322,[0. 0. 1. 0. 1. 0. 0.],0.7307777404785156
7,"[25, 62, 5, 49, 76, 44, 66]",0.15947961812206174,[1. 1. 0. 0. 1. 1. 0.],0.8235604763031006
8,"[82, 42, 45, 73, 53, 67, 4]",0.15784692068654027,[0. 0. 0. 1. 0. 0. 0.],0.7231748104095459
9,"[29, 23, 14, 60, 30, 7, 17]",0.15452261100593595,[1. 0. 0. 1. 0. 0. 0.],0.72640061378479
10,"[79, 78, 22, 50, 33, 1, 74]",0.15377433980412178,[1. 1. 0. 0. 0. 0. 0.],0.7295794486999512
11,"[59, 46, 56, 6, 54, 55, 43]",0.14978744663582563,[1. 1. 0. 0. 0. 1. 0.],0.7289512157440186
12,"[11, 12, 27, 36, 57, 61, 15]",0.14232842128606876,[1. 1. 1. 0. 0. 1. 0.],0.7251121997833252
